x-----oo-,0,1012,2619,188,3140,1238,0,0,5442
xox---oo-,0,0,0,0,98,22,0,0,93
xoxo--oox,0,0,0,0,36,39,0,0,0
-o-ox--ox,22,0,505,0,0,262,184,0,0
-oxoxo-ox,35,0,0,0,0,0,39,0,0
---o--o-x,7423,681,3658,0,2598,1746,0,354,0
-x-o--oox,249,0,131,0,55,55,0,0,0
xx-o-ooox,0,0,40,0,44,0,0,0,0
-xoo---xo,59,0,0,0,24,118,22,0,0
ooxxx--oo,0,0,0,0,0,34,48,0,0
-oxo-----,4764,0,0,0,5020,2000,6997,893,3057
-oxo---ox,107,0,0,0,268,21,151,0,0
---ox---o,1396,3246,4992,0,0,573,3075,3154,0
--oox--xo,39,21,0,0,0,159,44,0,0
o---x-oxo,0,13,65,329,0,61,0,0,0
-xoo--ox-,118,0,0,0,19,21,0,0,126
oo-x--xo-,0,0,235,0,235,10,0,0,0
ooxx-oxo-,0,0,0,0,51,0,0,0,0
---oxo---,5796,6422,7902,0,0,0,6766,4697,4341
x--oxo-o-,0,293,294,0,0,0,319,0,18
xoxoxo-o-,0,0,0,0,0,0,31,0,40
--xo--oxo,275,264,0,0,23,0,0,0,0
x-xo-ooxo,0,54,0,0,0,0,0,0,0
-x-oxo--o,217,0,346,0,0,0,111,15,0
oxxoxo--o,0,0,0,0,0,0,35,43,0
-o-oxox--,172,0,22,0,0,0,0,318,319
-ox--o---,1523,0,0,921,2969,0,5231,1173,950
oox-xo---,0,0,0,101,0,0,29,46,111
x--ox-oo-,0,195,265,0,0,224,0,0,20
xxoox-oo-,0,0,0,0,0,0,0,0,40
--oox----,3574,3604,0,0,0,885,1621,5474,3460
-ooxxo---,96,0,0,0,0,0,47,0,127
xooxxoo--,0,0,0,0,0,0,0,0,38
-o--x-xoo,155,0,19,244,0,186,0,0,0
-o-oxxxoo,0,0,42,0,0,0,0,0,0
---ox-o--,4693,3945,1002,0,0,1464,0,2625,3265
x--oxoo--,0,343,305,0,0,0,0,258,17
-xo--oox-,40,0,0,19,16,0,0,0,145
oxo--ooxx,0,0,0,0,36,0,0,0,0
oo---o-xx,0,0,140,42,42,0,27,0,0
-x--ooox-,74,0,52,0,0,0,0,0,0
xx--oooxo,0,0,36,0,0,0,0,0,0
---o-xoox,236,62,17,0,156,0,0,0,0
xo-o-xoox,0,0,36,0,43,0,0,0,0
o--xx-o-o,0,145,41,0,0,19,0,269,0
ooxxx-o-o,0,0,0,0,0,38,0,0,0
--ox----o,1727,273,0,0,2062,2018,1533,561,0
xoox-xo-o,0,0,0,0,36,0,0,0,0
----oox--,1142,776,450,1146,0,0,0,1429,2417
---xooxo-,16,103,11,0,0,0,0,0,22
-o-x--xoo,22,0,138,0,391,124,0,0,0
-ox---xoo,170,0,0,340,22,47,0,0,0
o---oox-x,0,61,51,154,0,0,0,18,0
x---oxoo-,0,43,107,0,0,0,0,0,65
x--ooxoox,0,0,45,0,0,0,0,0,0
x--oo----,0,1249,1562,0,0,872,268,77,698
xx-oo-o--,0,0,19,0,0,112,0,14,108
-o--oxx-o,71,0,0,78,0,0,0,0,0
--xo-o---,5166,3217,0,0,5470,0,1535,1649,1186
--xo-oxo-,284,165,0,0,11,0,0,0,196
x-xo-oxoo,0,48,0,0,45,0,0,0,0
oox---x-o,0,0,0,102,23,77,0,217,0
ooxx-ox-o,0,0,0,0,44,0,0,0,0
--oo-x---,302,12,0,0,816,0,107,489,706
--ooox--x,0,0,0,0,0,0,99,76,0
o-oooxx-x,0,0,0,0,0,0,0,33,0
o--o-x-ox,0,20,14,0,22,0,60,0,0
o--ooxxox,0,0,39,0,0,0,0,0,0
--ox-xo-o,0,9,0,0,24,0,0,98,0
xo-o--o-x,0,0,246,0,23,307,0,140,0
o--x--o--,0,336,1228,0,2219,2371,0,826,1077
ooxxoxo--,0,0,0,0,0,0,0,0,52
-oo-x-x-o,0,0,0,114,0,104,0,0,0
xoo-x-xoo,0,0,0,30,0,0,0,0,0
-oox-x--o,217,0,0,0,18,0,146,31,0
--oxx--oo,72,81,0,0,0,24,159,0,0
-o--x-o--,4986,0,1296,2883,0,2831,0,360,4453
-oxox-o--,77,0,0,0,0,20,0,0,176
xoxox-oo-,0,0,0,0,0,0,0,0,34
ooxox----,0,0,0,0,0,222,22,126,235
--x--o--o,5011,3908,0,1856,2875,0,4976,1494,0
x-x-oo--o,0,25,0,122,0,0,166,8,0
x-x-ooxoo,0,35,0,41,0,0,0,0,0
xooo--x--,0,0,0,0,161,0,0,124,163
--o-o--x-,137,83,0,405,0,190,2393,0,967
--ooox-x-,0,0,0,0,0,0,98,0,137
o-ooox-xx,0,0,0,0,0,0,44,0,0
oo-----x-,0,0,1147,192,1008,590,1302,0,1549
oo-x--ox-,0,0,0,0,81,106,0,0,0
oo-x-xoxo,0,0,0,0,44,0,0,0,0
-x-o--oxo,366,0,250,0,16,58,0,0,0
--xx-o-oo,183,76,0,0,153,0,367,0,0
--xxooxoo,39,0,0,0,0,0,0,0,0
o-o-----x,0,441,0,182,358,158,676,940,0
o-o-xo--x,0,131,0,0,0,0,35,109,0
o-ooxo-xx,0,37,0,0,0,0,35,0,0
x-oo--o-x,0,157,0,0,17,314,0,305,0
xxoo--oox,0,0,0,0,44,0,0,0,0
x-x--ooo-,0,19,0,55,246,0,0,0,261
-----xoo-,1868,448,2004,1717,4116,0,0,0,4593
-o--xxoo-,79,0,221,23,0,0,0,0,363
---ox--o-,4038,1795,4088,0,0,1987,4125,0,5602
x-oox--o-,0,53,0,0,0,154,136,0,25
--o-x-oxo,43,24,0,163,0,271,0,0,0
---o-o-x-,1273,1131,1370,0,8967,0,4154,0,4370
---oxo-xo,56,20,201,0,0,0,215,0,0
o-x--o-ox,0,0,0,0,72,0,86,0,0
o-xo-oxox,0,0,0,0,30,0,0,0,0
-----o-ox,4112,411,1344,160,3152,0,1505,0,0
x----ooox,0,349,198,53,15,0,0,0,0
xooo---x-,0,0,0,0,109,0,83,0,316
xooo-oxx-,0,0,0,0,0,0,0,0,47
x-o--o---,0,1090,0,2378,1735,0,1922,831,2401
x-o--oo-x,0,128,0,172,20,0,0,68,0
xoox-oo-x,0,0,0,0,37,0,0,0,0
xx---oo-o,0,0,23,32,132,0,0,93,0
----xo--o,1552,2196,2332,523,0,0,2078,2426,0
--x-xo-oo,191,171,0,39,0,0,17,0,0
oxx-xo-oo,0,0,0,0,0,0,39,0,0
o-o----x-,0,1309,0,258,1849,445,1792,0,1116
o-oox--x-,0,19,0,0,0,25,290,0,208
xoxo-o---,0,0,0,0,544,0,286,0,96
xoxo-ox-o,0,0,0,0,41,0,0,0,0
-o-----ox,2069,0,2292,1425,8314,4428,1957,0,0
x-oo-xo--,0,0,0,0,92,0,0,0,142
x-ooxxoo-,0,0,0,0,0,0,0,0,42
----x-o-o,386,2435,132,2109,0,2186,0,2869,0
o---xxo-o,0,32,77,24,0,0,0,228,0
xo----xoo,0,0,278,29,183,56,0,0,0
xoo--xxoo,0,0,0,38,0,0,0,0,0
------oox,10129,1276,4192,1551,5556,3934,0,0,0
x-o----o-,0,641,0,3651,2592,1272,1862,0,3003
----o-o-x,365,828,2704,147,0,1757,0,237,0
-o-xo-o-x,0,0,108,0,0,8,0,0,0
oo-xoxo-x,0,0,32,0,0,0,0,0,0
o---o---x,0,943,3017,859,0,1590,2391,2550,0
o-o-o--xx,0,92,0,157,0,27,17,0,0
o-x----o-,0,716,0,1419,3086,3707,3576,0,2206
o-xo--xo-,0,178,0,0,22,171,0,0,246
----xo-o-,5137,629,4224,1989,0,0,6073,0,3816
--o-xo-ox,24,43,0,196,0,0,113,0,0
ox------o,0,0,1623,277,3037,421,610,1058,0
ox-o---xo,0,0,34,0,21,6,141,0,0
o--xx--oo,0,141,294,0,0,25,274,0,0
oxoxx--oo,0,0,0,0,0,47,0,0,0
xo---o---,0,0,3219,2724,5705,0,7499,905,1748
xox--o--o,0,0,0,166,155,0,436,0,0
xox-oox-o,0,0,0,34,0,0,0,0,0
-x--o---o,2079,0,1617,879,0,132,836,103,0
-x-oo----,1584,0,934,0,0,519,145,330,675
-xxoo-o--,19,0,0,0,0,190,0,17,42
-xxoo-oox,27,0,0,0,0,44,0,0,0
o--x----o,0,184,323,0,2912,1195,723,335,0
o--x-o-xo,0,18,0,0,9,0,0,0,0
o--xxooxo,0,43,0,0,0,0,0,0,0
o---o--x-,0,121,777,208,0,732,1110,0,2049
o--xoo-x-,0,0,0,0,0,0,125,0,93
oo-xooxx-,0,0,0,0,0,0,0,0,51
-o-ox-xo-,259,0,22,0,0,111,0,0,278
--ox--xoo,22,46,0,0,233,249,0,0,0
-ooxx-xoo,40,0,0,0,0,28,0,0,0
o---x-o--,0,2245,939,1755,0,2962,0,1636,480
o-x-x-o-o,0,130,0,23,0,35,0,39,0
---oxoxo-,261,165,24,0,0,0,0,0,154
x--oxoxoo,0,0,46,0,0,0,0,0,0
oox------,0,0,0,2352,5965,5389,5151,1470,2518
oox--o-x-,0,0,0,0,106,0,199,0,285
ooxoxo-x-,0,0,0,0,0,0,25,0,0
o------xo,0,930,240,298,3847,98,703,0,0
oxo----xo,0,0,0,16,20,103,8,0,0
o-ox--ox-,0,87,0,0,63,36,0,0,0
o-oxxoox-,0,30,0,0,0,0,0,0,0
o---oxxo-,0,0,36,0,0,0,0,0,82
-ox--xoo-,36,0,0,128,231,0,0,0,20
-o-x---o-,4503,0,785,0,4810,3120,4559,0,1043
xooxx--oo,0,0,0,0,0,38,34,0,0
-o-ox-o-x,25,0,174,0,0,176,0,72,0
-oxoxoo-x,40,0,0,0,0,0,0,0,0
--ox-o---,2098,154,0,0,723,0,1066,665,857
--oxoo--x,65,0,0,0,0,0,182,135,0
o-oxoo-xx,0,0,0,0,0,0,53,0,0
o-oo---xx,0,76,0,0,39,52,32,0,0
o-----ox-,0,1020,100,299,732,304,0,0,47
ox---oox-,0,0,23,103,18,0,0,0,39
o-x-oox--,0,0,0,0,0,0,0,51,132
